id,name,note,category,drop1_id,drop1_name,drop1_probability,drop2_id,drop2_name,drop2_probability
1,"Bell Goblin","LV: 10 | Rings its bell to sow panic before the kill.
<Char:$goblinarcher>
<Archetype: Humanoid>
<Biome: Forest, Grasslands, Plains>
<Speed: 3>
<Movement: Approach>
<It: Suona la campana per seminare il panico prima dell'uccisione.>",biological,0571,"Leather",1/4,,"",
2,"Goblin Warrior","LV: 15 | A battle-hardened goblin swinging its axe with ruthless precision.
<Char:$goblinarcher>
<Archetype: Humanoid>
<Biome: Forest, Grasslands, Plains>
<Speed: 3>
<Movement: Approach>
<It: Un goblin temprato dalla battaglia che brandisce la sua ascia con spietata precisione.>",biological,0571,"Leather",1/5,0573,"Bone",1/5
3,"Goblin Shaman","LV: 18 | Chants curses that warp flesh and mind.
<Char:$goblinoccultist>
<Archetype: Humanoid>
<Biome: Cultist Lair, Forest, Grasslands, Plains>
<Speed: 3>
<Movement: Approach>
<It: Canti e maledizioni che deformano la carne e la mente.>",biological,0573,"Bone",1/5,,"",
4,"Goblin Chieftain","LV: 35 | Leads its horde with brutal authority.
<Char:$goblinarcher>
<Archetype: Humanoid>
<Biome: Forest, Grasslands, Plains, Secret Laboratory>
<Speed: 3>
<Movement: Approach>
<It: Guida la sua orda con brutale autorità.
AltSprites:4>>",biological,0571,"Leather",1/4,,"",
5,"Forest Treant","LV: 35<Char:$GrizzledTreant> | An animated oak that smashes foes with gnarled limbs.
<Archetype: Tree>
<Biome: Forest>
<Speed: 1>
<Movement: Fixed>
<It: Una quercia animata che schiaccia i nemici con i suoi arti nodosi.>",plant,0576,"Herb extract",1/5,0575,"Plant matter",1/2
6,"Flame Imp","LV: 30 | A twisted little demon crackling with embers, it scorches flesh with gleeful malice. <Char:$CrimsonImp>
<Archetype: Demon>
<Biome: Cursed Lands, Volcano>
<Speed: 4>
<Movement: Approach>
<It: Un piccolo demone contorto che scoppietta tra le braci e brucia la carne con gioiosa malizia.>",biological,0571,"Leather",1/3,,"",
7,"Frost Elemental","LV: 33 | A living shard of ice whose chilling touch shatters bone and freezes blood in an instant. <Char:$WaterElemental>
<Archetype: Elemental>
<Biome: Lake, Glacial Wastes, Tundra>
<Speed: 4>
<Movement: Approach>
<It: Un frammento di ghiaccio vivente il cui tocco gelido frantuma le ossa e congela il sangue in un istante.>",crystalline,0569,"Glass",1/3,,"",
8,"Desert Scorpion","LV: 30 | A hulking arachnid with crystalline pincers, its venom burns like acid and paralyzes on contact.<Char:$LethalScorpion>
<Archetype: Insectoid>
<Biome: Caves, Desert>
<Speed: 3>
<Movement: Random>
<It: Un aracnide imponente dotato di chele cristalline; il suo veleno brucia come l'acido e paralizza al contatto.>",biological,0571,"Leather",1/5,0573,"Bone",1/5
9,"AirElemental","LV: 30 |  A howling vortex given shape, it slices throats with razor winds and vanishes in a gust.<Char:$BeginnerEnchanter>
<Archetype: Humanoid>
<Biome: Secret Laboratory, Sky Isles>
<Speed: 3>
<Movement: Approach>
<It: Un vortice ululante prende forma, taglia le gole con venti taglienti e svanisce in una raffica.>",biological,0574,"Meat",1/2,,"",
10,"Sewers slime","LV: 17 | A filthy ooze that oozes through grates, dissolving flesh and machinery alike in its wake. Almosts immune to magic<Char:$AcidOoze>
<Archetype: Slime>
<Biome: Sewers, Swamp>
<Speed: 2>
<Movement: Random>
<It: Una melma sporca che trasuda attraverso le grate, dissolvendo carne e macchinari al suo passaggio. Quasi immune alla magia.>",slime,0577,"Oil Flask",1/4,0573,"Bone",1/8
11,"Thunder Sprite","LV: 33 | A crackling wisp of storm energy, it jolts its prey with lightning strikes faster than the eye can follow.<Char:$AirElemental>
<Archetype: Elemental>
<Biome: Highlands, Secret Laboratory, Sky Isles>
<Speed: 4>
<Movement: Approach>
<It: Un crepitante soffio di energia tempestosa, che scaglia la sua preda con fulmini che scoccano più velocemente di quanto l'occhio possa vedere.>",biological,0573,"Bone",1/3,,"",
12,"Crimson Sucker","LV: 42 | A blood-thirsty bird with razor teeth, it drains life with uncanny speed and leaves corpses pale.<Char:$VampireBat>
<Archetype: Demon>
<Biome: Caves, Cursed Lands>
<Speed: 4>
<Movement: Approach>
<It: Un uccello assetato di sangue con denti affilati, che prosciuga la vita con una velocità incredibile e lascia i cadaveri pallidi.>",biological,0571,"Leather",1/4,0573,"Bone",1/4
13,"Earth Golem","LV: 52 |  A hulking construct of stone and root, it smashes skulls with each seismic punch.<Char:$EarthElemental>
<Archetype: Golem>
<Biome: Abandoned Mines, Caves, Highlands, Mountains>
<Speed: 2>
<Movement: Random>
<It: Un'imponente costruzione di pietre e radici che fracassa crani a ogni colpo sismico.>",golem,0565,"Steel ingot",1/3,,"",
14,"Shadow Wraith","LV: 41 | A drifting specter of pure darkness, it rends souls with ethereal claws and fades before retaliation.<Char:$PoisonGhost>
<Archetype: Ghost>
<Biome: Haunted Moor, Secret Laboratory, Spirit Realm>
<Speed: 5>
<Movement: Approach>
<It: Uno spettro vagante di pura oscurità, lacera le anime con artigli eterei e svanisce prima della rappresaglia.>",spirit,0579,"Arcane Essence",1/3,,"",
15,"Water Nymph","LV: 43 |  A beguiling spirit in a whirl of spray, she drags victims beneath the waves to drown in silent depths.<Char:$WaterElemental>
<Archetype: Elemental>
<Biome: Lake, Sacred Grove>
<Speed: 4>
<Movement: Approach>
<It: Uno spirito ammaliatore in un turbine di spruzzi, trascina le vittime sotto le onde per farle annegare in profondità silenziose.>",spirit,0579,"Arcane Essence",1/4,,"",
16,"Royal Knight","LV: 52 | A gleaming warrior in cursed plate, its blade cuts honor and hope alike in ruthless duels.<Char:$BraveKnight>
<Archetype: Humanoid>
<Biome: Urban>
<Speed: 3>
<Movement: Approach>
<It: Un guerriero splendente con una corazza maledetta, la cui lama taglia allo stesso modo onore e speranza in duelli spietati.>",biological,0571,"Leather",1/4,,"",
17,"Dark Mage","LV: 63 | A gaunt sorcerer with sunken eyes, it warps reality with forbidden incantations and crackling curses.<Char:$DarkelfMage>
<Archetype: Humanoid>
<Biome: Underdark>
<Speed: 3>
<Movement: Approach>
<It: Uno stregone scarno dagli occhi infossati, che deforma la realtà con incantesimi proibiti e maledizioni scoppiettanti.>",biological,0573,"Bone",1/5,0571,"Leather",1/4
18,"Dragon Monk","LV: 70 | A scaled ascetic whose fists blaze like embers, it shatters ribs with a single breath-charged blow.<Char:$BoundCadaver>
<Archetype: Humanoid>
<Biome: Highlands>
<Speed: 3>
<Movement: Approach>
<It: Un asceta dotato di squame, i cui pugni ardono come braci e fracassano le costole con un solo colpo sparato con un solo respiro.>",dragon,0578,"Acidic Solution",1/6,,"",
19,"Phantom Archer","LV: 65 | A ghostly marksman loosed from the veil, its spectral arrows pass through flesh to pierce the heart.<Char:$RottingArcher>
<Archetype: Humanoid>
<Biome: Spirit Realm>
<Speed: 3>
<Movement: Approach>
<It: Un tiratore spettrale liberato dal velo, le sue frecce spettrali attraversano la carne per trafiggere il cuore.>",spirit,0579,"Arcane Essence",1/4,,"",
20,"Shadow Thief","LV: 61 | A wraith in human guise, it steals coin and life force alike without a whisper of warning.<Char:$DarkelfThief>
<Archetype: Humanoid>
<Biome: Underdark>
<Speed: 3>
<Movement: Approach>
<It: Uno spettro in sembianze umane, ruba denaro e forza vitale senza il minimo preavviso.>",spirit,0579,"Arcane Essence",1/3,,"",
21,"Fiery Sleep Demon","LV: 82 | A yawning fiend swathed in nightmares, it lulls victims with hypnotic embers before incinerating them.<Char:$FireElemental>
<Archetype: Demon>
<Biome: Cursed Lands>
<Speed: 4>
<Movement: Approach>
<It: Un demone sbadigliante avvolto negli incubi, culla le sue vittime con braci ipnotiche prima di incenerirle.>",biological,0571,"Leather",1/5,0574,"Meat",1/4
22,"Frost Dragon","LV: 98 |  A colossal wyrm of glacial scales, its icy roar freezes landscapes and crushes hope beneath clawed feet.<Char:$YoungSilverDragon>
<Archetype: Dragon>
<Biome: Glacial Wastes, Highlands, Tundra>
<Speed: 5>
<Movement: Approach>
<It: Un drago colossale dalle scaglie glaciali, il cui ruggito gelido congela i paesaggi e schiaccia la speranza sotto i suoi piedi artigliati.>",dragon,0577,"Oil Flask",1/4,0578,"Acidic Solution",1/4
23,"Void Sorcerer","LV: 90| An eldritch conduit to nothingness, its void-fire blasts unravel flesh and sanity in equal measure.<Char:$Vaelor>
<Archetype: Voidspawn>
<Biome: Cultist Lair, Eldritch Dimension, Underdark>
<Speed: 3>
<Movement: Random>
<It: Un canale soprannaturale verso il nulla, le sue esplosioni di fuoco vuoto distruggono carne e sanità mentale in egual misura.>",biological,0571,"Leather",1/4,,"",
24,"Royal Champion","LV: 113 | A towering blade-warden in gilded armor, it lays waste to armies with disciplined fury.<Char:$DwarfWarrior>
<Archetype: Humanoid>
<Biome: Plains>
<Speed: 3>
<Movement: Approach>
<It: Un imponente guardiano della lama in armatura dorata, che devasta gli eserciti con furia disciplinata.>",biological,0573,"Bone",1/4,0571,"Leather",1/4
25,"Ancient Lich","LV: 156 | A decrepit sovereign of bones, it weaves death magic that corrodes flesh and curses the soul.<Char:$GraveRevenant>
<Archetype: Undead>
<Biome: Ancient Crypt, Necropolis>
<Speed: 2>
<Movement: Approach>
<It: Un decrepito sovrano di ossa, tesse una magia di morte che corrode la carne e maledice l'anima.>",biological,0574,"Meat",1/2,,"",
