id,note,translate
1,Rings its bell to sow panic before the kill.,Suona la campana per seminare il panico prima dell'uccisione.
2,"A battle-hardened goblin swinging its axe with ruthless precision.
AltSprites:3>","Un goblin temprato dalla battaglia che brandisce la sua ascia con spietata precisione.
AltSprites:3>"
3,Chants curses that warp flesh and mind.,Canti e maledizioni che deformano la carne e la mente.
4,"Leads its horde with brutal authority.
AltSprites:4>","Guida la sua orda con brutale autorità.
AltSprites:4>"
5,An animated oak that smashes foes with gnarled limbs.,Una quercia animata che schiaccia i nemici con i suoi arti nodosi.
6,"A twisted little demon crackling with embers, it scorches flesh with gleeful malice.",Un piccolo demone contorto che scoppietta tra le braci e brucia la carne con gioiosa malizia.
7,A living shard of ice whose chilling touch shatters bone and freezes blood in an instant.,Un frammento di ghiaccio vivente il cui tocco gelido frantuma le ossa e congela il sangue in un istante.
8,"A hulking arachnid with crystalline pincers, its venom burns like acid and paralyzes on contact.",Un aracnide imponente dotato di chele cristalline; il suo veleno brucia come l'acido e paralizza al contatto.
9,"A howling vortex given shape, it slices throats with razor winds and vanishes in a gust.","Un vortice ululante prende forma, taglia le gole con venti taglienti e svanisce in una raffica."
10,"A filthy ooze that oozes through grates, dissolving flesh and machinery alike in its wake. Almosts immune to magic","Una melma sporca che trasuda attraverso le grate, dissolvendo carne e macchinari al suo passaggio. Quasi immune alla magia."
11,"A crackling wisp of storm energy, it jolts its prey with lightning strikes faster than the eye can follow.","Un crepitante soffio di energia tempestosa, che scaglia la sua preda con fulmini che scoccano più velocemente di quanto l'occhio possa vedere."
12,"A blood-thirsty bird with razor teeth, it drains life with uncanny speed and leaves corpses pale.","Un uccello assetato di sangue con denti affilati, che prosciuga la vita con una velocità incredibile e lascia i cadaveri pallidi."
13,"A hulking construct of stone and root, it smashes skulls with each seismic punch.",Un'imponente costruzione di pietre e radici che fracassa crani a ogni colpo sismico.
14,"A drifting specter of pure darkness, it rends souls with ethereal claws and fades before retaliation.","Uno spettro vagante di pura oscurità, lacera le anime con artigli eterei e svanisce prima della rappresaglia."
15,"A beguiling spirit in a whirl of spray, she drags victims beneath the waves to drown in silent depths.","Uno spirito ammaliatore in un turbine di spruzzi, trascina le vittime sotto le onde per farle annegare in profondità silenziose."
