Change;Excluded;Original;en;it
;;Talk;Talk;Parla
;;Info;Info;Info
;;Join party;Join party;Unisciti al Party
;;Cancel;Cancel;Annulla
;;"If you come across a high level that can one-shot
you and your friends, you should flee before
anybody get hurt.";"If you come across a high level that can one-shot
you and your friends, you should flee before
anybody get hurt.";"Se ti imbatti in un livello alto che può uccidere te e i tuoi amici con un colpo solo, dovresti scappare prima che
qualcuno si faccia male."
;;Your party is full.;Your party is full.;Il tuo Party è al completo.
;;Treat wounds;Treat wounds;Cura ferite
;;Shop;Shop;Negozio
;;...;...;...
;;Secret shop;Secret shop;Negozio segreto
;;Online shopping is subjected to tariffs!;Online shopping is subjected to tariffs!;Lo shopping online è soggetto a dazi!
;;Trust only your local shopkeeper!;Trust only your local shopkeeper!;Fidati solo del tuo negoziante locale!
;;Who knows? I'm full of surprises!;Who knows? I'm full of surprises!;Chi lo sa? Sono pieno di sorprese!
;;Music;Music;Musica
;;Change battle music;Change battle music;Cambia musica di battaglia
;;Play random music;Play random music;Riproduci musica casuale
;;"Change class? You will return at LV.1 but keep all
your skills";"Change class? You will return at LV.1 but keep all
your skills";"Cambiare classe? Tornerai al livello 1 ma manterrai tutte
le tue abilità."
;;No;No;No
;;Yes;Yes;Sì
;;"Since you are under LV.10 you can change your class, but
you will forget all your skills.
You will also return to LV.1";"Since you are under LV.10 you can change your class, but
you will forget all your skills.
You will also return to LV.1";"Dato che sei sotto il livello 10, puoi cambiare classe, ma
dimenticherai tutte le tue abilità.
Tornerai anche al livello 1."
;;You need to be at least LV.10 to change your class;You need to be at least LV.10 to change your class;Devi essere almeno al LV.10 per cambiare classe
;;1000\G were found!;1000\G were found!;1000\G trovati!
;;Access to the server room is prohibithed.;Access to the server room is prohibithed.;Accesso alla sala server vietato.
;;Rent;Rent;Affitto
;;Lockpick;Lockpick;Grimaldello
;;Travel to the world map?;Travel to the world map?;Viaggiare verso la mappa del mondo?
;;"The rest of the world is still a work in progress,
come back when the full game releases!";"The rest of the world is still a work in progress,
come back when the full game releases!";"Il resto del mondo è ancora in lavorazione,
tornateci quando uscirà il gioco completo!"
;;"I'm the debug guy!
Do you need my services?";"I'm the debug guy!
Do you need my services?";"Sono il debugger!
Hai bisogno dei miei servizi?"
;;My dungeon bugged..;My dungeon bugged..;Il mio dungeon è infetto..
;;I want to change my appearance;I want to change my appearance;Voglio cambiare il mio aspetto
;;Please wait a second...;Please wait a second...;Attendi un secondo...
;;We generated a new dungeon just for you!;We generated a new dungeon just for you!;Abbiamo creato un nuovo dungeon solo per te!
;;The door is stucked;The door is stucked;La porta è bloccata
;;Select floor;Select floor;Seleziona piano
;;Worthiness;Worthiness;Dignità
;;Chat;Chat;Chatta
;;Close;Close;Chiudi
;;Your worthiness is \V[2];Your worthiness is \V[2];La tua dignità è \V[2]
;;YOU ARE NOT WORTHY.;YOU ARE NOT WORTHY.;NON SEI DEGNO.
;;Worhy;Worhy;Degno
;;SUperWorthy;SUperWorthy;Super Degno
;;Generate Dungeon;Generate Dungeon;Genera Dungeon
;;Next floor;Next floor;Piano successivo
;;Previous floor;Previous floor;Piano precedente
